"Area_name","Value_label","Significance_England","Indicator_short_name","Time_period","Figure_ID","Hex_ID","Source","Fingertips_ID","Sex","Age","Life_course","At_ICT_level","Indicator_label","Polarity","x","y"
"Wealden","9.1%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"Adur","8.2%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"Arun","8.4%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"Chichester","9.6%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"Crawley","6.6%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"Horsham","7.2%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"Mid Sussex","7.2%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"Worthing","9.1%","Not applicable","Fuel_poverty","2021","Building blocks 1",2,"OHID Fingertips",93759,"Persons","All ages",,"ICT level","in fuel poverty.","Not applicable",2.5,1.5
"Brighton and Hove North","12.2","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Brighton and Hove East","12.2","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Brighton and Hove Central","12.2","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Brighton and Hove West","12.2","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Brighton and Hove","12.2","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Eastbourne","9","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Hastings","8.6","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Lewes","11.6","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Rother","10.7","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Wealden","11.9","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Adur","12.4","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Arun","11.1","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Chichester","12.4","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Crawley","10.4","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Horsham","12.8","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Mid Sussex","11.8","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Worthing","9.3","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"England","7.4","Not applicable","Housing_affordability_ratio","2022","Building blocks 1",3,"ONS",,"Persons","All ages",,"LTLA","housing affordability ratio (ratio of lower 25% house prices to lower 25% gross earnings)","Not applicable",3.5,1.5
"Brighton and Hove Central","18.5%","Better","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Brighton and Hove East","22.1%","Worse","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Brighton and Hove North","16.8%","Better","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Brighton and Hove West","12.4%","Better","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Brighton and Hove","17.2%","Better","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Adur","2.2%","Better","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Arun","11.3%","Better","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Chichester","0%","Better","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Crawley","3%","Better","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Horsham","0%","Better","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Mid Sussex","0%","Better","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Worthing","7.3%","Better","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Eastbourne","19.6%","Better","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Hastings","43%","Worse","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Lewes","3.2%","Better","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Rother","10.1%","Better","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Wealden","3.8%","Better","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"England","19.9%","Not applicable","National_deprivation_quintile_1","2019","Building blocks 1",9,"Department for Communities and Local Government (DCLG)",,"Persons","All ages",,"ICT level","of people living in the 20% most deprived areas in England","Lower is better",2,2
"Brighton and Hove North","16%","Better","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Brighton and Hove East","16%","Better","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Brighton and Hove Central","16%","Better","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Brighton and Hove West","16%","Better","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"England","17%","Not applicable","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Brighton and Hove","16%","Better","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Eastbourne","18.2%","Worse","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Hastings","25.7%","Worse","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Lewes","13.4%","Better","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Rother","16.8%","Similar","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Wealden","10.2%","Better","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Adur","14.4%","Better","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Arun","13%","Better","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Chichester","10.8%","Better","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Crawley","14.8%","Better","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Horsham","7.4%","Better","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Mid Sussex","7.1%","Better","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Worthing","12.2%","Better","Children_living_in_poverty","2016","Building blocks 1",10,"OHID Fingertips",90630,"Persons","0-19 years","Yes","LTLA","of children aged 0-19 living in poverty","Lower is better",3,2
"Brighton and Hove North","18.7%","Worse","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Brighton and Hove East","18.7%","Worse","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Brighton and Hove Central","18.7%","Worse","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Brighton and Hove West","18.7%","Worse","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"England","14.2%","Not applicable","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Brighton and Hove","18.7%","Worse","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Eastbourne","13.3%","Better","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Hastings","19.6%","Worse","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Lewes","10.1%","Better","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Rother","10.4%","Better","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Wealden","8.1%","Better","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Adur","11.8%","Better","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Arun","10.8%","Better","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Chichester","8.2%","Better","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Crawley","13.7%","Similar","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Horsham","6.6%","Better","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Mid Sussex","6.8%","Better","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Worthing","11.5%","Better","Older_people_living_in_poverty","2019","Building blocks 1",11,"Department for Communities and Local Government (DCLG)",,"Persons","60 and over","Yes","LTLA","of older people (aged 60+) living in poverty","Lower is better",4,2
"Brighton and Hove","101.3","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Brighton and Hove Central","167","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Brighton and Hove East","56.8","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Brighton and Hove North","48.6","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Brighton and Hove West","52.9","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Eastbourne","102.6","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Hastings","113.5","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Lewes","60","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Rother","59.4","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Wealden","45.1","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Adur","72.9","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Arun","77.8","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Chichester","68.8","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Crawley","123.1","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Horsham","51.3","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Mid Sussex","49.6","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Worthing","96.6","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"England","88.2","Not applicable","Overall_crime_rate","2023","Building blocks 2",1,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","overall crime rate per 1,000 in the 12 months to July 2023","Lower is better",1.5,1.5
"Brighton and Hove","12.8","Not applicable","ASB_rate","2023","Building blocks 2",3,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","antisocial behaviour incident rate per 1,000 in the 12 months to July 2023","Lower is better",3.5,1.5
"Brighton and Hove Central","21.6","Not applicable","ASB_rate","2023","Building blocks 2",3,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","antisocial behaviour incident rate per 1,000 in the 12 months to July 2023","Lower is better",3.5,1.5
"Brighton and Hove East","7.9","Not applicable","ASB_rate","2023","Building blocks 2",3,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","antisocial behaviour incident rate per 1,000 in the 12 months to July 2023","Lower is better",3.5,1.5
"Brighton and Hove North","5.4","Not applicable","ASB_rate","2023","Building blocks 2",3,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","antisocial behaviour incident rate per 1,000 in the 12 months to July 2023","Lower is better",3.5,1.5
"Brighton and Hove West","6.7","Not applicable","ASB_rate","2023","Building blocks 2",3,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","antisocial behaviour incident rate per 1,000 in the 12 months to July 2023","Lower is better",3.5,1.5
"Eastbourne","14.3","Not applicable","ASB_rate","2023","Building blocks 2",3,"Police data (compiled by B&H Community Insight tool)",,"Persons",,,"ICT level","antisocial behaviour incident rate per 1,000 in the 12 months to July 2023","Lower is better",3.5,1.5
